	Description	MG1999112202AA.CEL	MG1999112204AA.CEL	MG1999112206AA.CEL	MG2000011801AA.CEL	MG2000011803AA.CEL	MG2000011807AA.CEL	MG2000030308AA.CEL	MG2000031503AA.CEL	MG2000032015AA.CEL	MG2000033106AA.CEL	MG2000033107AA.CEL	MG2000033109AA.CEL	MG2000040501AA.CEL	MG2000040502AA.CEL	MG2000040504AA.CEL	MG2000040505AA.CEL	MG2000040508AA.CEL	MG2000040509AA.CEL	MG2000040510AA.CEL	MG2000040511AA.CEL	MG2000040512AA.CEL	MG2000040513AA.CEL	MG2000051201AA.CEL	MG2000051202AA.CEL	MG2000051204AA.CEL	MG2000051205AA.CEL	MG2000051207AA.CEL	MG2000051208AA.CEL	MG2000051209AA.CEL	MG2000051211AA.CEL	MG2000051213AA.CEL	MG2000061902AA.CEL	MG2000061903AA.CEL	MG2000061904AA.CEL	MG2000061905AA.CEL	MG2000061906AA.CEL	MG2000070709AA.CEL	MG2000070710AA.CEL	MG2000070711AA.CEL	MG2000070712AA.CEL	MG2000070713AA.CEL	MG2000071102AA.CEL
X91788_at	Icln protein	1.74E+04	3.14E-01	3.83E+03	2.19E+00	1.84E+06	1.17E+01	2.12E+02	9.61E+01	1.40E+04	4.90E+02	1.48E+04	2.28E+04	1.96E+01	2.57E+04	7.12E+03	8.84E+01	6.01E+03	2.74E+00	9.23E-01	5.30E+03	1.97E+02	5.92E+02	1.53E+01	1.67E+01	1.13E+01	9.45E+01	3.46E-02	1.01E-02	3.49E-01	1.51E-01	1.14E-01	6.17E-01	9.31E-03	2.68E+03	8.28E-02	2.93E-03	2.14E-01	7.44E-02	9.13E+03	1.21E-01	8.67E+03	1.44E+03
X91809_at	GAIP protein	4.60E+03	2.33E+03	1.67E+05	1.80E+08	3.81E+05	1.52E+05	3.82E+03	3.79E+03	4.86E+04	6.91E+04	1.26E+04	2.23E+05	1.68E+03	1.56E+05	1.44E+05	7.43E+03	1.07E+04	1.73E+01	2.28E+05	8.71E+02	2.41E+03	8.41E+05	9.27E+03	2.51E+04	3.11E+05	3.56E+04	1.25E+05	6.15E+03	3.58E+03	1.76E+06	2.59E+03	7.56E+03	8.98E+01	1.47E+06	1.50E+04	9.99E+00	4.94E+06	6.19E+03	3.09E+03	6.55E-01	1.30E+05	7.06E+03
X91868_at	SIX1 protein	8.40E+02	9.90E+01	5.22E+02	6.13E+04	2.24E+03	1.34E-01	3.61E-02	1.95E-02	5.24E+03	3.31E-01	6.98E+01	1.00E+05	9.51E-03	3.80E+02	3.16E-02	2.70E-02	6.51E-01	1.82E-02	1.58E-02	1.79E-02	6.10E-02	3.57E-02	4.59E-01	2.93E+01	3.84E+04	5.69E-01	5.39E-02	3.05E-02	7.81E-02	1.59E+01	5.85E+03	5.69E-03	5.09E-03	2.21E-01	3.38E-03	3.85E-03	1.66E+02	1.40E-02	5.86E-02	7.16E+00	4.39E+04	8.94E-02
X91911_s_at	Glioma pathogenesis-related protein (GliPR) mRNA	3.82E+03	4.04E+00	6.21E+01	1.66E+03	4.38E+01	1.47E-01	8.78E-02	7.89E+00	1.35E+01	1.70E-01	7.61E+00	4.82E+03	1.02E-02	2.03E+01	8.73E-01	1.61E-02	4.51E-01	9.47E-03	7.10E-03	2.23E-02	5.20E-02	1.64E-02	7.62E-02	3.91E+04	1.23E+03	8.56E-01	6.48E-02	1.14E+01	6.43E-02	7.75E+02	3.13E+01	9.64E-03	5.36E-03	1.75E-02	2.13E-02	3.77E-03	5.33E-01	1.80E-02	6.19E-02	1.53E-02	1.50E+01	4.45E-02
X91992_at	AlkB protein homolog	1.63E+04	2.84E+02	1.60E+00	4.13E+04	1.44E+03	1.93E-01	1.22E+02	6.15E-01	1.91E+03	1.53E-02	1.40E-02	1.44E+01	1.57E-01	4.83E+03	2.33E-01	1.75E+01	2.22E+01	1.58E-01	4.90E-02	2.27E-02	3.10E+02	4.42E-02	4.28E-02	1.16E+03	2.17E+02	3.36E+02	1.25E-01	7.49E+02	2.58E+02	1.42E+00	5.33E+02	1.26E-01	1.91E-02	1.35E-01	4.58E-02	5.64E-02	2.59E+04	8.44E-02	2.46E+02	1.85E+02	1.91E+09	1.05E+02
X92098_at	Transmembrane protein rnp24	6.68E+03	5.06E-01	5.93E+03	2.27E+03	1.26E-01	4.71E-01	3.73E+01	2.48E+00	2.14E+05	5.68E-01	2.67E+01	3.54E+05	4.80E-01	7.02E+04	6.88E+03	4.71E+01	6.86E+03	5.96E+02	3.42E-02	3.30E+00	4.93E+03	5.96E+03	1.95E+01	3.34E+03	2.93E+03	1.89E-01	1.51E+01	8.61E+03	6.37E+04	4.15E+01	4.23E+04	4.83E+04	2.23E+05	6.10E+04	2.10E-01	6.13E+04	7.55E+05	1.95E+00	1.64E+03	5.75E+02	7.69E+05	5.65E+04
X92106_at	Bleomycin hydrolase	1.82E+03	1.59E-01	5.17E+01	6.24E+05	5.44E+04	8.64E+02	3.77E+01	3.80E-02	7.91E+04	2.87E-01	2.86E+03	1.48E+05	5.16E-02	5.85E+02	2.53E-01	1.48E-01	1.84E+02	9.61E-02	3.28E-02	2.84E-02	1.67E+01	8.23E-02	8.62E-02	9.90E-02	1.51E-01	5.85E-02	5.32E-02	1.76E-02	2.81E-02	7.34E-01	4.68E+02	2.01E-02	1.04E-02	2.52E-02	1.57E-02	1.54E-02	9.50E-02	2.27E-02	3.31E-02	5.42E-02	6.44E+03	4.21E-02
X92110_at	HcgVIII protein	4.61E+02	8.42E+02	7.73E+02	1.07E+03	7.00E+04	1.26E+01	4.59E+01	1.55E+01	8.17E+03	5.77E+00	3.06E-01	4.09E+06	1.23E-01	1.27E+03	3.61E+04	7.74E-01	1.93E+02	6.19E+00	9.28E+00	4.76E+02	1.42E+02	4.64E-01	1.84E-01	5.19E-01	2.64E+01	7.30E+00	2.19E-01	1.95E+00	1.51E-01	1.39E+01	1.26E+02	2.62E+01	5.54E-02	3.22E+00	1.45E-01	5.12E-02	1.20E+04	3.54E-01	2.28E+02	6.18E+01	3.49E+03	5.09E+01
X92368_at	Ncx1 gene (exon 1)	2.75E+03	2.89E-01	1.21E-01	7.33E+03	4.61E+01	1.36E-01	2.38E+01	1.41E-01	9.19E+02	8.22E-03	6.63E-03	6.24E-02	8.35E-01	4.77E+00	1.56E-01	6.18E+01	8.76E+03	6.26E-02	5.96E+01	1.03E-01	1.13E+01	6.13E-02	3.69E-01	8.61E+00	1.79E-01	8.09E+00	7.42E+00	3.22E-01	1.30E-01	3.31E-01	4.46E+02	3.09E-01	4.08E+00	4.67E+00	2.23E-01	1.47E+00	1.44E+00	9.06E+01	1.74E-01	9.22E-02	1.47E+03	4.61E+03
X92396_at	Novel gene in Xq28 region	4.59E+05	1.34E+01	1.76E+05	1.60E+05	2.85E+03	2.01E+02	9.37E+01	4.16E+04	4.56E+01	8.83E+01	3.82E+00	1.00E+03	1.43E+02	8.75E+01	1.77E+03	2.57E+02	9.73E+02	8.23E+00	4.46E+06	2.02E+04	6.33E+03	6.95E+00	3.99E+03	5.47E+03	4.35E+02	7.81E+02	5.56E+02	2.35E+03	2.04E+04	3.40E+02	5.17E+02	1.99E+01	2.01E-02	5.02E+03	8.93E-02	1.49E-02	8.33E+04	2.87E-01	2.01E+00	7.72E-03	8.52E+01	2.21E+04
X92475_at	ITBA1 protein	2.18E+05	2.85E+02	1.80E+05	4.43E+04	3.60E+02	2.27E+03	5.88E+04	4.28E+03	9.15E+08	2.28E+03	7.51E+02	4.78E+01	3.42E+00	1.53E+04	2.41E+04	2.43E+02	2.61E-01	9.39E+00	3.24E+03	9.02E+04	3.16E+03	1.35E-01	3.05E+01	1.27E+03	2.50E+01	5.60E+03	1.43E+00	1.79E-01	3.19E+01	2.16E+04	7.46E+02	1.02E+01	1.91E-01	1.38E+03	1.20E-01	6.23E-02	3.89E-02	2.70E+02	3.06E+03	8.86E+01	1.57E+04	5.05E+02
X92493_s_at	STM-7 protein	1.88E+03	3.97E+04	6.85E+04	1.83E+03	4.10E+03	5.06E+03	2.66E+03	1.99E+04	1.34E+05	3.49E+05	6.27E+04	7.05E+04	1.21E+04	1.10E+05	1.28E+04	3.15E+04	9.94E+02	1.95E+03	8.81E+03	6.76E+06	3.15E+05	2.17E+04	1.06E+06	6.33E+03	2.98E+05	1.60E+04	1.10E+04	7.02E+04	6.79E+05	4.07E+04	2.77E+04	1.15E+04	2.21E-02	6.40E+03	1.55E+03	9.24E+02	7.61E+04	7.59E+03	4.11E+04	8.86E+03	1.62E+04	1.28E+04
X92518_s_at	HMGI-C	9.93E+01	5.30E+00	2.53E+04	4.60E+02	9.04E+01	2.75E-01	1.12E-01	6.51E-02	6.84E+00	1.09E-01	7.30E-02	4.28E+01	3.46E-02	5.65E-01	4.55E-02	5.69E-02	8.50E+00	3.82E-02	7.23E-02	4.09E-02	1.33E+00	3.22E-02	6.75E-02	1.12E+00	4.87E+00	2.40E-01	3.68E-01	9.58E+02	4.26E+00	3.02E-01	1.29E+00	4.49E-02	2.91E-02	4.44E-02	7.17E-02	4.99E-02	5.20E+00	5.48E-02	4.93E-01	1.12E+00	2.49E+04	1.24E-01
X92521_at	Clone rasi-1 matrix metalloproteinase RASI-1 mRNA	6.57E+03	8.56E+04	5.46E+03	9.91E+02	5.07E+01	6.59E+02	9.38E+03	5.48E+00	1.61E+03	3.05E+02	1.19E+02	3.77E+03	9.44E-03	1.35E+03	1.11E+05	6.65E-01	1.01E+04	2.06E+02	4.41E-02	7.61E+02	3.53E-01	1.62E-01	6.14E+04	1.03E-01	3.51E+03	6.24E+04	1.92E+03	8.07E+01	4.83E+04	4.15E+02	5.28E+04	9.31E+01	6.58E-01	2.97E+04	1.20E-01	1.07E-01	2.54E+02	3.64E+00	1.31E+02	7.30E-02	9.92E+04	7.41E+02
X92689_at	UDP-GalNAc:polypeptide N-acetylgalactosaminyl transferase	1.87E+03	2.77E+02	9.02E+04	2.30E+04	1.16E+04	3.19E+03	1.73E+04	4.24E+03	6.18E+03	5.47E+01	1.24E+01	3.00E+02	1.91E+03	1.61E+03	2.91E+05	6.83E+02	2.09E+04	2.07E+03	4.26E+03	1.05E+03	1.44E+03	2.12E+03	4.68E+02	2.23E+05	1.72E+01	7.67E+02	7.44E+01	5.15E+01	1.26E+02	9.87E+03	2.04E+04	2.04E+01	2.65E+00	9.59E+02	3.11E+02	1.20E+01	3.57E+03	3.04E+04	2.69E+03	1.10E-02	3.65E+06	4.02E+04
X92715_at	ZNF74 Zinc finger protein 74 (Cos52)	4.43E+03	3.17E+01	1.20E+02	4.45E+03	2.24E+04	6.82E+04	1.19E+01	2.19E-01	1.26E+03	3.44E+01	1.50E-01	1.40E+04	5.25E+01	7.09E+01	2.59E+04	2.75E+02	1.13E+05	1.25E-01	1.78E+01	2.34E+02	5.31E+02	1.42E+01	8.10E+01	3.21E+02	6.15E+01	4.65E+02	1.17E+01	9.28E-02	1.44E-01	2.66E+02	9.65E+02	4.56E-02	2.47E-02	4.52E-02	5.80E-02	5.32E-02	2.13E+04	1.35E+04	2.41E+02	3.85E-01	6.85E-01	2.23E+03
X92720_at	Phosphoenolpyruvate carboxykinase	2.42E+05	5.84E-02	2.07E+01	1.51E+03	1.51E+06	1.23E-01	1.70E+03	8.35E-01	1.50E+04	9.63E+01	1.60E+02	5.97E-01	5.25E+02	3.58E+01	3.66E+00	4.53E+00	1.14E+05	1.11E-01	6.52E+02	6.63E+02	2.25E+02	1.44E+01	1.15E+03	1.41E+00	1.15E+00	1.95E+03	4.63E-01	3.78E+02	1.29E-01	8.14E+04	1.57E+04	2.31E-02	6.97E-02	1.26E+03	3.24E-02	8.76E-02	7.08E+01	1.83E+05	1.07E-02	9.24E-02	1.25E+04	1.60E-01
X92744_at	BETA-DEFENSIN 1 PRECURSOR	1.76E+05	8.19E+02	3.44E+03	4.92E+04	2.72E+04	1.12E+05	2.01E+00	2.10E-01	3.89E+07	1.26E-01	2.67E+01	6.37E+03	6.17E-02	8.85E+00	1.21E-01	2.66E-01	6.53E+05	3.88E-02	3.53E+03	3.89E-01	7.98E+06	8.65E-01	5.07E+02	1.80E+05	4.36E+04	1.09E+04	4.11E+00	4.71E-02	1.19E+03	3.01E+03	3.78E+03	3.01E-02	4.97E-03	4.58E-02	1.66E-02	1.25E-02	3.33E+07	1.17E-02	4.76E-02	3.54E-02	1.51E+02	6.53E+03
X92762_at	Tafazzins protein	7.58E+01	1.09E+00	1.31E+02	1.19E+05	6.18E+01	6.37E+00	8.86E-02	5.01E+00	7.41E+03	2.03E+00	3.08E+03	4.42E+08	2.28E-02	2.09E+02	1.99E-01	5.09E+01	3.37E+04	8.02E-02	7.16E-02	4.33E-02	3.59E+02	6.35E-02	9.26E-01	1.83E+01	4.36E+01	5.04E+01	1.28E-01	4.64E+00	1.18E+01	4.34E+00	1.30E+01	6.54E-01	1.17E-02	9.62E-02	5.28E-03	3.34E-02	3.06E+02	4.17E-02	1.37E-01	5.68E-01	5.44E+05	1.56E+03
X92814_at	Rat HREV107-like protein	1.82E+04	5.18E+04	6.63E+02	1.57E+06	3.90E+03	2.98E+04	2.28E+04	1.65E+04	1.21E+04	1.26E+04	5.21E+04	2.71E+04	1.58E+04	8.91E+03	3.01E+06	5.05E+05	7.39E+04	1.43E+04	2.22E+04	1.79E+05	8.03E+03	1.86E+04	8.60E+03	5.52E+03	4.97E+05	3.33E+05	3.62E+05	9.15E+04	1.79E+05	1.87E+04	1.26E+03	5.38E+06	9.63E+04	6.70E+04	2.83E+04	3.15E+05	7.70E+03	4.00E+05	1.25E+10	1.84E+05	2.12E+05	1.87E+04
X92896_at	ITBA2 protein	1.55E+04	1.38E+05	5.80E+02	3.45E+04	1.42E+08	5.16E+04	6.87E+04	4.19E+04	2.91E+04	9.95E+03	4.17E+05	3.00E+04	1.83E+04	1.41E+05	6.98E+04	7.31E+04	4.98E+06	4.11E+05	3.21E+04	1.26E+05	4.44E+06	1.10E+06	5.94E+04	7.67E+04	2.52E+04	1.09E+05	1.16E+05	1.36E+06	5.76E+05	1.99E+04	2.56E+04	8.83E+05	2.76E+07	8.78E+04	5.05E+05	1.10E+06	7.25E+08	6.15E+05	1.13E+04	3.08E+05	4.58E+04	2.14E+05
X92972_at	Protein phosphatase 6	1.66E+04	6.14E+03	4.55E+03	1.52E+04	4.52E+03	5.70E+03	3.78E+03	1.87E+05	3.78E+03	1.51E+04	9.38E+03	2.80E+06	3.60E+02	2.30E+04	7.29E+04	2.53E+03	1.61E+05	4.52E+03	9.17E+02	4.05E+04	1.68E+01	8.42E+03	1.20E+05	9.88E+02	1.69E+03	1.71E+05	1.71E+00	1.18E-01	7.43E-02	8.15E+03	1.70E+03	9.42E-02	8.12E-02	8.20E-03	7.49E-02	2.44E+02	1.76E+05	1.77E+04	1.89E+03	9.56E+00	1.07E+05	5.48E+00
X93017_at	Ncx2 gene (exon 2)	1.77E+05	4.20E-01	9.17E+01	5.91E+03	3.21E+03	3.08E+01	1.29E+00	2.05E+04	4.78E+06	2.50E+03	1.87E+04	1.16E+07	3.34E-02	6.33E+04	6.49E-02	3.00E-02	1.67E+03	6.79E-02	6.02E-02	4.38E-02	6.67E+01	9.34E-02	1.15E-01	9.43E-02	1.86E-01	1.24E+03	3.72E-02	3.49E-02	1.19E-01	5.95E-02	6.01E-01	1.05E-02	6.16E-03	1.03E+00	4.06E-03	7.17E-03	2.00E+03	3.32E-02	3.17E-02	3.90E-01	1.36E+04	5.27E-02
X93036_at	MAT8 protein	1.57E+04	2.39E+03	1.20E+06	2.47E+06	4.15E+04	4.89E+04	3.74E+04	1.58E+04	3.64E+04	4.04E+05	7.55E+05	2.72E+04	4.46E+04	2.89E+05	6.59E+04	5.45E+03	8.62E+04	1.97E+04	2.18E+07	9.67E+04	5.79E+04	7.50E+06	1.87E+05	3.30E+04	6.02E+04	3.36E+04	3.83E+04	4.46E-02	1.02E+03	9.60E+05	2.20E+05	5.55E+03	6.16E+07	8.39E+04	2.73E+07	1.13E+05	1.12E+03	5.25E+04	7.28E-02	4.98E+04	3.21E+04	1.52E+04
X93498_at	21-Glutamic Acid-Rich Protein (21-GARP)	5.28E+04	3.47E+00	1.79E+02	1.89E+03	5.27E+01	8.29E-02	4.77E-02	1.80E-02	1.07E+04	7.96E-02	3.61E+01	8.63E+03	1.58E-02	2.66E-02	4.47E-02	6.79E-03	1.60E+04	6.53E-03	3.41E-01	6.07E-03	2.14E-01	1.03E+05	3.87E+02	4.52E-01	4.49E+02	3.19E+03	3.38E-01	1.29E+03	1.00E+04	9.18E+00	3.36E+01	1.12E+01	7.55E-03	2.92E+05	3.70E-02	4.45E-02	4.88E+01	1.93E-02	7.88E-02	2.75E-02	9.75E+04	1.73E+04
X93499_at	RAB7 protein	5.92E+04	4.70E+03	4.79E+04	9.29E+03	2.19E+03	3.37E+10	5.91E+04	3.62E+04	3.39E+04	2.94E+04	1.76E+05	1.77E+04	3.45E+04	9.87E+05	6.02E+02	1.13E+02	1.02E+04	1.34E+03	7.98E+04	6.95E-02	5.18E+03	4.69E+03	3.21E+03	9.56E+03	1.59E+04	9.95E+03	1.85E+07	2.59E+04	2.63E+03	1.24E+04	8.77E+03	3.66E+00	1.35E+03	1.59E+03	5.77E-02	4.68E+01	2.10E+04	2.77E+05	9.24E+04	5.33E+04	4.78E+04	6.06E+03
X93510_at	37 kDa LIM domain protein	1.61E+08	1.13E+03	4.14E+04	1.03E+06	8.99E+04	2.53E-02	1.58E+04	2.81E+02	2.07E+04	4.15E+04	2.72E+04	3.66E+03	2.39E+04	6.89E+08	9.01E+02	3.45E+03	1.75E+03	4.20E+03	3.14E+03	3.26E+04	2.85E+03	6.40E+04	6.48E+00	1.15E+05	5.80E+08	5.55E+00	5.51E-02	8.36E-01	7.94E+01	2.15E+04	1.25E+04	9.00E-01	2.34E-02	3.02E-03	2.95E-03	6.33E-01	5.86E+02	5.02E+05	1.22E+01	9.55E-02	5.68E+05	3.14E+00
X93511_s_at	Telomeric repeat binding factor (TRF1) mRNA	1.13E+04	6.07E+02	1.66E+04	6.00E+03	2.71E+03	3.99E+03	8.00E+03	4.45E+00	1.82E+04	3.58E+03	4.38E+02	2.86E+04	6.53E-01	2.63E+02	6.49E+02	6.44E+03	2.30E+04	2.18E+03	1.42E+04	2.60E+03	5.35E+04	7.69E+02	4.31E+02	4.61E+02	2.29E+04	9.49E+03	3.87E+03	2.48E+02	1.56E+00	3.88E+03	3.77E+03	6.69E+00	3.01E+01	4.24E+03	8.92E-02	9.39E-02	3.58E+03	2.34E+03	6.45E+03	7.27E+02	1.43E+06	9.64E+01
X93512_at	Telomeric DNA binding protein (orf2)	3.11E+03	4.54E+05	6.16E+02	3.99E+07	1.46E+01	2.67E-01	6.93E+01	1.48E+04	5.50E+04	5.52E-01	1.09E+01	6.53E+03	1.34E+05	1.24E+00	7.85E+01	1.63E+00	1.44E+03	1.60E-01	1.18E+01	1.67E+04	7.43E+02	4.89E+02	3.69E+00	3.17E+00	1.02E+01	4.05E+03	1.29E+03	2.51E+02	8.97E+02	2.12E+02	5.98E-01	1.07E+06	5.61E+03	5.37E+03	2.71E+06	9.63E+02	2.18E+04	2.43E+03	1.37E+05	9.40E+04	1.27E+03	1.86E+02
X93920_at	Protein-tyrosine-phosphatase (tissue type: foreskin)	1.05E+03	3.06E-01	1.09E-01	7.67E+01	1.18E-01	3.56E-02	1.27E-02	1.17E-01	2.52E+02	2.20E-02	2.70E-02	5.69E+01	2.61E-02	1.23E-01	1.28E-01	7.24E-02	8.77E+02	3.02E-02	4.49E-03	4.71E-03	1.22E+01	4.21E-02	1.81E-02	4.82E-02	6.10E-02	5.23E-02	2.24E-02	3.49E-02	1.73E-02	1.18E-01	1.08E-01	8.86E-03	3.46E-03	3.23E-02	1.87E-02	2.04E-02	1.37E-01	1.03E-01	5.18E-02	8.10E-02	1.23E+06	1.97E-02
X93921_at	Protein-tyrosine-phosphatase (tissue type: testis)	7.28E+04	4.75E+07	2.24E+04	4.16E+04	2.47E+04	4.16E+05	1.10E+05	2.81E+03	8.96E+06	2.10E+05	1.65E+06	1.60E+05	9.32E+04	1.89E+07	3.40E+05	7.94E+05	3.11E+06	2.42E+04	1.77E+05	7.14E+04	3.15E+04	7.91E+05	5.76E+04	1.14E+05	3.38E+04	2.70E+04	1.35E+05	1.36E+10	8.45E+04	2.22E+05	1.37E+06	1.88E+05	5.42E+04	8.27E+04	1.65E+02	3.36E+05	4.38E+04	5.09E+04	8.26E+04	1.89E+04	7.49E+07	2.89E+04
X93996_rna1_at	AFX protein	1.85E+04	1.34E+03	6.92E+03	8.58E+03	6.26E+04	2.68E+03	1.53E+04	8.26E-02	8.35E+01	3.51E+05	8.19E+04	2.10E+07	4.28E-02	2.50E+05	3.50E-01	8.60E-02	3.11E+04	1.13E+02	1.54E+03	2.30E-01	1.69E-01	7.41E+01	6.05E+01	6.75E+04	6.31E+04	3.04E+02	2.75E+04	4.27E+01	1.06E+03	2.80E+03	1.22E+05	1.15E-02	5.75E-03	1.76E-02	1.53E-02	3.59E-03	1.88E+01	1.07E-02	9.97E-02	8.25E-02	2.29E+04	1.04E-01
X94232_at	Novel T-cell activation protein	1.01E+05	8.18E+01	1.06E-01	9.70E+03	4.59E-02	5.16E+02	5.88E+00	3.29E-02	1.97E+03	3.96E-02	3.04E-02	3.38E+02	8.60E+03	2.47E-02	1.18E-01	5.30E-02	8.54E-02	4.03E-02	2.44E+01	3.71E+04	4.96E+06	1.17E+05	1.22E+00	5.76E-02	5.56E-02	7.12E+01	2.87E+03	3.22E-01	3.29E+02	8.67E-02	4.06E-02	7.16E+02	1.27E+04	2.21E+02	9.47E+03	9.43E+04	3.41E+00	9.17E+02	1.17E+03	2.18E+02	1.50E+02	4.80E+02
X94333_at	TGN46 protein	7.48E+01	1.03E+00	5.06E+01	1.92E+04	1.98E+04	1.31E-01	8.45E-02	5.58E+02	4.53E+01	1.84E+03	7.78E+00	3.91E+02	1.02E-01	1.27E+00	2.89E+01	3.67E+00	7.08E+02	8.91E-02	1.49E-01	2.71E+02	2.16E+02	1.28E-01	2.94E+00	3.93E+02	5.38E+04	3.63E+04	1.49E-01	1.09E+03	5.82E+00	2.21E+02	9.88E+01	1.93E+04	2.15E-01	1.04E+00	4.20E+02	2.74E+04	1.19E+02	1.40E+00	6.03E+00	2.06E+01	1.50E+06	1.30E+03
X94453_at	PYCS Pyrroline-5-carboxylate synthetase (glutamate gamma-semialdehyde synthetase)	3.80E+04	2.61E+05	2.60E+04	2.19E+04	5.83E+04	1.19E+05	1.47E+06	7.41E+04	1.43E+05	3.40E+07	1.92E+05	1.68E+05	4.58E+03	1.97E+04	3.74E+06	1.18E+04	4.19E+04	3.97E+04	5.95E+05	1.63E+05	2.55E+04	5.84E+05	1.64E+06	5.43E+06	1.82E+08	1.49E+04	1.90E+09	4.63E+04	1.05E+04	1.16E+05	3.17E+04	1.79E+05	3.50E+03	9.47E+05	3.20E+06	5.03E+03	1.29E+06	7.87E+04	3.58E+05	4.83E+05	2.99E+04	1.52E+04
X94563_xpt2_r_at	Exon 1b; used only in type 2 transcripts from  H.sapiens dbi/acbp gene exon 1 & 2./ntype=DNA /annot=exon	6.11E+03	1.23E+04	9.90E+04	7.35E+03	1.96E+04	2.29E+04	1.31E+03	6.81E+05	1.98E+03	8.13E+03	1.20E+04	1.85E+04	4.87E+03	9.17E+04	5.08E+04	4.48E+08	2.48E+04	8.46E+04	1.08E+04	5.28E+05	2.18E+05	3.05E+04	2.10E+04	2.04E+06	2.97E+04	1.11E+04	2.48E+04	8.19E+03	2.88E+04	9.56E+03	1.99E+04	5.32E+04	6.30E+04	3.14E+04	1.18E+04	2.69E+05	9.17E+04	4.69E+03	2.01E+07	3.10E+04	8.42E+07	6.13E+04
X94612_at	Type II cGMP-dependent protein kinase	1.61E+04	2.46E+05	4.44E+04	3.28E+05	5.43E+04	2.24E+04	1.12E+04	2.71E+03	1.55E+05	1.24E+05	9.75E+03	2.78E+05	3.33E+04	9.18E+03	3.70E+03	6.08E+03	1.18E+04	4.05E+02	1.67E+04	1.43E+04	1.64E+07	7.77E+03	1.22E+05	3.17E+05	1.91E+05	2.59E+04	1.41E+05	1.48E+06	1.52E+05	4.76E+05	1.81E+04	4.61E+02	7.12E+00	6.53E+04	9.17E+04	1.15E+04	6.36E+05	3.38E+05	1.57E+04	2.76E+05	5.76E+05	9.57E+06
X94628_rna1_s_at	MeCP-2 gene	1.71E+02	1.18E-01	1.61E-01	2.21E+04	6.20E-02	3.40E-02	2.50E-02	3.02E-02	6.40E+01	2.20E-02	2.10E-02	4.14E+01	4.22E-03	4.84E-02	5.43E-02	1.56E-02	2.03E+00	1.34E-02	8.51E-03	2.17E-02	2.85E-02	2.28E-02	6.90E-02	4.29E-02	1.92E-01	3.80E-01	2.22E-02	3.67E-02	3.66E-02	4.94E-02	1.72E-01	6.36E-03	3.39E-03	9.78E-03	8.48E-03	6.78E-03	1.03E-01	8.56E-03	3.67E-02	1.95E-02	7.09E+01	3.29E-02
X94629_at	Metaphase chromosmal protein	1.95E+07	3.68E+03	3.06E+04	4.03E+04	8.77E+03	6.54E+05	1.01E+06	1.03E+03	2.24E+04	1.77E+03	1.86E+04	2.46E+04	4.70E+00	4.28E+04	6.18E+03	2.22E-01	8.07E+03	1.06E-01	1.90E-01	2.83E+02	1.53E+01	1.85E+02	3.70E+03	4.22E+04	1.39E+05	2.09E+04	2.50E+03	9.59E+01	2.61E+03	7.46E+04	3.95E+04	2.49E-02	1.11E-02	9.62E-02	1.73E-02	1.92E-02	3.12E+03	3.77E-02	2.81E-01	8.85E-02	6.15E+04	9.21E+04
X94703_at	Rab28 mRNA	7.41E+02	3.98E+03	2.46E+02	2.45E+04	1.63E+01	4.56E-01	1.05E-01	6.00E-02	7.43E+05	4.80E-02	1.60E+01	2.71E+04	1.73E-02	2.28E+02	3.55E-02	6.95E-02	5.38E-02	4.87E-02	2.97E-02	2.67E-02	2.14E-01	6.23E-02	3.96E-01	1.91E+00	9.48E+01	2.67E+02	9.35E-02	3.61E+01	2.85E-01	3.18E+05	2.69E+01	2.64E-02	4.23E-02	3.61E-01	1.35E-02	1.59E-02	2.95E+02	5.95E-02	4.53E-02	8.58E+02	4.86E+03	6.66E-01
X94754_at	Yeast methionyl-tRNA synthetase homologue	1.39E+05	9.33E+03	4.22E+04	2.97E+05	2.50E+04	1.50E+04	3.44E+04	1.17E+07	8.62E+03	1.24E+05	1.14E+06	3.59E+05	9.16E+03	1.19E+10	6.70E+04	3.53E+05	4.87E+04	3.10E+04	1.04E+07	9.90E+05	4.21E+04	1.10E+07	4.54E+03	7.07E+04	1.01E+05	1.25E+06	1.99E+07	6.17E+04	2.07E+05	1.28E+07	9.87E+03	9.09E+05	9.48E+03	1.56E+07	4.00E+06	1.04E+06	4.12E+04	2.01E+04	3.78E+04	3.81E+05	7.88E+05	5.19E+04
X94910_at	ERp31 protein	8.78E+03	2.11E+02	1.07E+06	1.04E+05	1.12E+04	5.00E+02	6.91E+02	1.57E+02	4.26E+02	1.39E+05	5.96E+05	1.12E+04	1.08E+00	9.58E+02	1.08E+03	6.00E+05	6.19E+05	2.85E+02	7.37E+03	1.01E+00	4.47E+02	5.81E+03	2.34E+01	1.34E+03	1.75E+02	4.27E-01	1.62E+01	2.17E+03	5.34E+03	8.44E+01	2.60E+05	8.93E+03	7.94E-02	6.45E+02	1.02E-01	1.75E+02	6.71E+03	1.30E+00	1.08E+02	1.97E+04	9.16E+03	3.11E+05
