Description	Accession	Brain_MD_12		Brain_MD_61		Brain_MD_15		Brain_MD_57		Brain_MD_33		Brain_MD_64		Brain_MD_17		Brain_MD_62		Brain_MD_63		Brain_MD_32		Brain_MGlio_1		Brain_MGlio_2		Brain_MGlio_3		Brain_MGlio_4		Brain_MGlio_5		Brain_MGlio_6		Brain_MGlio_7		Brain_MGlio_8		Brain_MGlio_9		Brain_MGlio_10		Brain_Rhab_1		Brain_Rhab_2		Brain_Rhab_3		Brain_Rhab_4		Brain_Rhab_5		Brain_Rhab_6		Brain_Rhab_7		Brain_Rhab_8		Brain_Rhab_9		Brain_Rhab_10		Brain_Ncer_1		Brain_Ncer_2		Brain_Ncer_3		Brain_Ncer_4		Brain_PNET_1		Brain_PNET_2		Brain_PNET_3		Brain_PNET_4		Brain_PNET_5		Brain_PNET_6		Brain_PNET_7		Brain_PNET_8	
"Albumin, Alt. Splice 1"	HG2841-HT2968_s_at	28	A	325	P	33	A	102	M	251	P	133	A	240	P	453	A	24	A	380	A	374	A	387	A	659	A	265	A	339	A	265	A	351	A	103	A	531	A	408	P	36	A	105	A	194	A	220	A	229	A	124	M	142	A	126	P	110	A	95	A	200	A	940	A	698	A	1271	A	165	A	153	A	634	A	111	A	208	A	34	A	472	A	241	A
DHFR Dihydrofolate reductase	J00139_s_at	48	A	254	A	130	P	163	P	-20	A	372	P	111	A	404	A	144	P	189	A	-189	A	-398	A	202	A	29	A	-200	A	-18	A	22	A	-82	A	428	A	366	A	277	A	292	P	47	A	362	A	302	P	165	A	276	P	-40	A	110	P	20	A	-163	A	-136	A	426	A	689	A	201	A	200	A	96	A	403	A	-242	A	96	A	437	A	64	A
"Biliary Glycoprotein, Alt. Splice 5, A"	HG2850-HT4814_s_at	-24	A	-35	A	29	A	-60	A	36	A	-19	A	89	A	74	A	-78	A	-121	A	340	A	98	A	-322	A	-82	A	-14	A	-673	A	596	A	6	A	526	A	-136	A	-90	A	-47	A	-84	A	429	A	-322	A	-86	A	145	A	119	A	43	P	80	A	-42	A	-819	A	-73	A	39	A	-89	A	-6	A	2365	A	-24	A	203	A	-238	A	355	A	119	A
"Xe7, Pseudoautosomal Gene, Alt. Splice 2"	HG2868-HT3012_s_at	512	P	788	A	681	P	700	P	639	A	889	P	529	A	1375	A	236	P	906	A	1402	A	1868	P	1704	P	1281	P	1578	A	1223	P	965	P	866	A	1980	P	1207	A	861	A	1348	P	414	P	1306	P	1106	P	694	P	671	P	1195	P	458	P	541	P	959	A	1342	A	2035	P	2575	A	591	A	566	A	1067	A	1441	P	371	A	925	M	612	A	1410	P
NF1 Neurofibromin	M89914_s_at	-162	A	-153	A	-233	A	-124	A	-415	A	-267	A	-253	A	-513	A	-197	A	-324	A	-320	A	-1092	A	-972	A	-5	A	-622	A	-138	A	-639	A	-368	A	-819	A	-911	A	-266	A	-276	A	-168	A	-355	A	-490	A	-124	A	-110	A	-236	A	-165	A	-431	A	-333	A	-2049	A	-705	A	-1356	A	-255	A	-252	A	-1086	A	-280	A	-138	A	-803	A	-595	A	-673	A
"Epican, Alt. Splice 11"	HG2981-HT3127_s_at	-61	A	44	A	-7	A	19	A	-166	A	-16	A	45	A	145	A	30	A	25	A	160	A	185	A	-134	A	-194	A	-190	A	-203	A	225	M	12	A	309	A	84	A	-76	A	17	A	-12	A	21	A	-265	A	31	A	64	A	-7	A	-18	A	-386	A	18	A	88	A	266	A	-351	A	76	A	14	A	-201	A	1141	P	24	A	-42	A	-52	A	122	A
"Epican, Alt. Splice 12"	HG2981-HT3938_s_at	-199	A	-139	A	-77	A	-22	A	-6	A	-140	A	-161	A	-446	A	-12	A	-544	A	-534	A	-267	A	-370	A	-23	A	-946	A	-691	A	-569	A	-188	A	-472	A	-310	A	-130	A	-105	A	-62	A	-232	A	-385	A	-208	A	-32	A	-80	A	-100	A	-591	A	-686	A	-980	A	-173	A	-1928	A	-362	A	14	A	-596	A	29	A	-599	A	-151	A	-1797	A	-982	A
"Epican, Alt. Splice 1"	HG2981-HT3125_s_at	44	A	84	A	-7	A	-36	A	50	A	-29	A	-34	A	21	A	261	P	-73	A	-15	A	966	P	341	P	129	P	267	A	932	A	551	P	580	P	1101	P	23	A	-44	A	11	M	-116	A	109	A	-83	A	306	P	-75	A	111	A	344	P	-105	A	-60	A	-225	A	-67	A	-206	A	-62	A	93	A	548	P	4263	P	198	A	-129	A	17	A	247	M
Vasoactive Intestinal Peptide	HG2987-HT3136_s_at	31	A	380	A	217	A	217	A	689	A	353	A	196	P	177	A	96	A	204	A	771	A	726	A	1145	A	808	P	874	A	193	A	414	A	277	A	607	A	888	A	153	A	83	A	147	A	111	A	82	A	167	A	179	A	249	P	118	A	165	A	163	A	1720	A	910	A	890	A	31	A	153	A	317	A	572	A	34	A	230	A	338	A	346	A
"Elastin, Alt. Splice 2"	HG2994-HT4850_s_at	1477	P	2738	P	5417	P	6520	P	6312	P	2113	P	1290	A	478	A	3548	P	19919	P	3930	A	7129	A	6830	A	5278	A	2721	A	1555	A	2777	P	5678	P	5415	A	12098	P	12103	P	1204	P	625	A	75	A	584	A	26155	P	7672	P	296	A	455	A	1444	A	2234	A	7540	A	4725	A	5580	A	2015	A	525	A	6058	P	22652	P	455	A	637	A	659	A	2144	A
RNA for dermal fibroblast elastin	X52896_s_at	-101	A	354	A	1550	P	1571	P	2095	P	351	A	185	A	-435	A	490	A	6279	P	1175	A	1720	A	1444	A	950	A	1301	A	364	A	1051	A	471	P	1085	A	1861	A	2572	P	-298	A	-253	A	-199	A	-186	A	1068	P	638	A	-86	A	-101	A	-230	A	388	A	-506	A	102	A	1872	A	192	A	-175	A	653	A	6751	P	1704	A	-357	A	968	A	888	A
"Elastin gene, partial cds and partial 3'UTR"	U77846_rna1_at	112	P	611	P	141	A	95	A	422	P	133	A	78	A	347	A	135	A	470	A	491	A	622	A	712	P	76	A	530	P	273	P	456	P	226	A	488	P	-37	A	117	A	48	A	41	A	109	A	38	A	227	A	12	A	192	P	85	A	305	A	455	P	1262	P	519	A	203	P	268	A	-223	A	-413	A	602	P	297	A	166	P	414	A	72	A
"Elastin gene, partial cds and partial 3'UTR"	U77846_rna1_s_at	717	P	1579	A	1622	P	1507	P	2670	P	1119	A	754	P	716	A	1093	P	2697	P	1285	P	535	A	2310	P	1789	A	902	A	772	A	1042	P	951	P	2045	P	3073	P	1511	P	489	P	503	A	427	P	397	A	4445	P	890	P	474	P	252	A	1083	A	1202	P	2709	A	2349	P	2420	A	864	P	473	A	1865	A	7040	P	-34	A	1027	P	776	A	553	A
"Thyroid Peroxidase, Alt. Splice 2"	HG2999-HT4756_s_at	89	A	-11	A	68	A	-103	A	-180	A	-34	A	-116	A	148	A	80	A	-228	A	363	A	426	A	389	M	230	A	354	A	65	A	288	A	85	A	591	A	502	A	-34	A	-79	A	-88	A	108	A	-100	A	-64	A	110	A	57	A	-9	A	-185	A	103	A	-434	A	307	A	-545	A	161	A	-22	A	1230	A	89	A	104	A	-94	A	315	A	-101	A
DNM1 Dynamin 1	L07807_s_at	1210	P	781	A	1519	P	441	A	-196	A	505	P	906	P	4459	P	51	A	-113	A	1432	A	2261	P	3306	P	1759	P	1402	P	2494	P	1165	P	325	A	2875	A	3092	P	725	A	277	A	166	A	526	A	406	A	2290	P	32	A	513	P	211	A	1343	P	9641	P	7483	P	14025	P	10257	P	13	A	388	P	-442	A	1078	A	104	A	1468	P	4265	P	1250	P
"Fibronectin, Alt. Splice 1"	HG3044-HT3742_s_at	3063	P	3906	P	123	P	2971	P	107	A	2732	P	4988	P	3239	P	3669	P	1529	P	3170	P	770	P	1068	P	14973	P	7947	P	4879	P	4820	P	14971	P	5100	P	1029	P	8958	P	12370	P	561	P	13275	P	1884	P	9634	P	17428	P	14325	P	4166	P	80	A	261	A	-393	A	-115	A	-387	A	1043	P	2466	P	4606	P	2811	P	3566	P	2074	P	5	A	8293	P
FN1 Fibronectin 1	X02761_s_at	3566	P	7738	P	81	A	4334	P	296	A	3571	P	6826	P	3073	P	4610	P	1746	P	4136	P	1190	A	1458	A	19525	P	9466	P	5797	P	5410	P	19485	P	5257	P	1565	A	9006	P	15162	P	1902	P	13944	P	1833	P	26497	P	20115	P	14962	P	7650	P	1022	P	364	A	-651	A	-407	A	-1041	A	1805	P	4270	P	8482	P	3977	P	4750	P	3225	P	752	A	12676	P
Focal Adhesion Kinase	HG3075-HT3236_s_at	572	P	774	P	651	P	292	P	538	P	829	P	545	P	2020	P	446	P	623	P	875	P	1201	P	1448	P	1363	P	1479	P	2469	P	835	P	759	P	2181	P	1034	P	846	P	954	P	490	P	831	P	828	P	359	M	793	P	786	P	405	P	100	A	886	P	1768	P	1404	P	1330	P	465	A	380	P	586	A	1860	P	267	A	903	A	671	A	909	P
"Heterogeneous Nuclear Ribonucleoprotein K, Alt. Splice 1"	HG3076-HT3238_s_at	5673	P	4275	P	5765	P	4041	P	3161	P	5957	P	5560	P	15628	P	2401	P	7342	P	4382	P	5954	P	5569	P	6483	P	7593	P	6879	P	5381	P	4283	P	6039	P	3308	P	9008	P	8522	P	7149	P	9673	P	9559	P	3581	P	5479	P	7130	P	3876	P	2868	P	3922	P	4011	P	4401	P	4118	P	2428	P	2834	P	2644	P	5432	P	3710	P	8726	P	2351	P	3164	P
Phosphodiesterase	HG3085-HT3254_s_at	88	A	84	A	75	P	60	M	-164	A	87	A	4	A	1712	P	67	P	6	A	117	A	109	A	-62	A	188	P	-106	A	-43	A	177	P	52	A	189	P	150	A	1080	P	670	P	-56	A	2117	P	70	A	-103	A	133	P	382	P	58	P	-305	A	72	A	233	A	141	A	256	A	-35	A	130	A	105	A	128	A	-227	A	312	P	-52	A	-90	A
PR264 gene	X75755_rna1_s_at	882	P	1123	P	731	P	692	P	426	P	1134	P	835	P	1488	P	409	P	616	P	250	P	497	P	635	P	566	P	619	P	662	P	562	P	823	P	450	P	225	A	1649	P	752	P	1081	P	1431	P	1368	P	515	P	1108	P	1036	P	819	P	165	P	352	A	297	A	650	P	706	P	313	A	262	P	86	A	1193	P	118	A	1662	P	408	A	457	P
"Atpase, Cu2+ Transporting"	HG3105-HT3281_s_at	2	A	335	A	81	A	53	A	-2	A	124	A	69	A	358	P	78	A	126	A	-216	A	234	A	298	A	-5	A	161	A	-225	A	105	A	-145	A	27	A	18	A	80	A	149	P	171	A	198	A	74	A	35	A	163	P	117	A	132	P	-85	A	-66	A	128	A	567	P	604	A	8	A	4	A	500	A	321	P	34	A	196	P	221	A	20	A
Plasma Membrane Calcium Pump Hpmca2a	HG3107-HT3283_s_at	201	A	460	A	359	A	233	A	264	A	459	A	305	A	1059	A	298	A	803	A	762	A	1600	P	1742	A	566	A	1467	A	305	A	603	A	431	A	971	A	1081	A	344	A	425	M	318	A	739	A	654	A	174	A	537	P	117	A	203	A	-185	A	200	A	329	A	1449	A	2571	A	62	A	204	A	1384	A	482	A	579	P	870	A	548	A	693	A
Estrogen Receptor (Gb:S67777)	HG3125-HT3301_s_at	83	A	526	P	278	P	249	P	522	P	606	P	315	P	599	P	115	P	619	P	437	A	895	A	404	P	265	A	770	P	498	P	560	A	301	M	938	A	418	P	167	A	119	A	-34	A	121	A	225	A	256	P	328	P	263	P	61	A	250	M	339	P	401	A	1445	P	1730	A	250	A	163	A	365	A	991	P	54	A	736	P	408	A	810	P
"Major Histocompatibility Complex, Class Iii, Rp1, Alt. Splice 1"	HG3148-HT3324_s_at	567	A	361	A	419	A	264	P	109	A	225	A	455	A	996	A	359	P	10	A	-74	A	-551	A	-1030	A	47	A	1085	P	986	P	540	A	299	M	792	P	324	A	663	P	865	P	654	P	826	P	936	P	572	P	111	A	659	P	283	P	747	P	-66	A	-1334	A	160	A	-397	A	-232	A	-159	A	144	A	-144	A	178	A	-91	A	-566	A	428	A
"Tyrosine Phosphatase 1, Non-Receptor, Alt. Splice 3"	HG3187-HT3366_s_at	996	P	87	P	128	P	113	P	111	P	258	P	292	P	-198	P	200	P	-145	P	-223	A	43	A	558	P	41	A	1454	P	793	P	270	P	204	P	21	A	94	A	247	P	300	P	164	P	-62	A	112	P	445	P	179	P	321	P	391	P	496	P	-194	A	-948	A	-528	P	-587	P	183	P	41	A	528	P	253	P	44	A	74	P	1248	P	-169	P
Unknown protein gene extracted from Human ribosomal protein S24 mRNA	M31520_rna1_at	132	M	44	A	198	A	137	P	-271	A	-63	A	-13	A	-28	A	1	A	-25	A	29	A	196	A	-187	A	-183	A	-143	A	-225	A	60	A	-119	A	32	A	-94	A	-109	A	82	P	14	A	101	P	-35	A	21	A	56	A	-32	A	11	A	-230	A	48	A	56	A	-19	A	19	A	-327	A	-80	A	759	A	92	A	-9	A	34	A	437	A	-2	A
Unknown protein gene extracted from Human ribosomal protein S24 mRNA	M31520_rna1_s_at	5287	P	5280	P	7918	P	8038	P	7839	P	5276	P	3876	P	2849	P	5473	P	9542	P	2629	P	2868	P	2570	P	3023	P	3060	P	1278	P	2941	P	5178	P	2219	P	2326	P	8617	P	17390	P	9065	P	7988	P	9262	P	5942	P	4428	P	5836	P	6796	P	11602	P	2641	P	8199	P	5687	P	6729	P	2477	P	2681	P	2086	P	2585	P	3328	P	4133	P	2765	P	2832	P
"Calcium Channel, Voltage-Gated, Alpha 1e Subunit, Alt. Splice 3"	HG3242-HT4231_s_at	-30	A	330	A	69	A	148	A	-141	A	102	A	4	A	63	A	-149	A	-55	A	-378	A	-1196	A	-1030	A	-661	A	-1360	A	-447	A	-398	A	-562	A	-672	A	-155	A	-154	A	18	A	-185	A	29	A	-263	A	-136	A	-143	A	-159	A	-2	A	797	A	157	A	1776	A	317	A	-824	A	376	A	-277	A	-1865	A	-291	A	-217	A	240	A	484	A	-218	A
"Calcium Channel, Voltage-Gated, Alpha 1e Subunit, Alt. Splice 2"	HG3242-HT3419_s_at	111	A	-25	A	95	A	73	A	-166	A	132	A	126	P	411	A	10	A	208	M	-40	A	491	A	-284	A	230	A	267	A	-134	A	342	A	-34	A	265	A	714	P	150	A	125	A	158	A	193	A	276	A	16	A	-26	A	76	A	61	A	240	A	36	M	-755	A	423	A	262	A	89	A	62	A	-740	A	-13	A	242	A	44	A	682	P	139	A
MANB Mannosidase alpha-B (lysosomal)	U05572_s_at	141	A	-483	A	-513	A	-126	A	-566	A	-512	A	-441	A	-1098	A	136	A	-713	A	-1028	A	-1480	A	-746	A	-596	A	-840	A	76	A	-927	A	-196	A	-1519	A	-1536	A	754	P	195	A	-75	P	-145	A	-85	P	208	M	186	P	-121	A	255	P	-345	A	-934	A	-1929	A	-1045	A	-1323	A	-340	A	227	A	-1481	A	-978	A	-980	A	-672	A	-1622	A	-326	A
"Split Gene 1 Enhancer, Tup1-Like"	HG3319-HT3496_s_at	577	P	821	P	624	P	494	P	659	A	636	P	621	A	2899	P	398	P	796	A	920	P	1502	P	1448	P	1458	P	1025	A	1992	P	911	P	506	P	1557	P	958	A	767	P	778	P	551	P	616	A	802	P	435	A	575	P	476	P	344	P	686	A	849	A	2532	A	1397	A	1773	A	1025	P	500	A	2077	A	1384	P	658	A	1024	P	1353	P	1241	A
Dna-Binding Protein Hrfx2	HG3327-HT3504_s_at	-681	A	-1331	A	-869	A	-559	A	-1191	A	-1001	A	-1237	A	-1967	A	-763	A	-1476	A	-2575	A	-3113	A	-3075	A	-1942	A	-2844	A	-1267	A	-1807	A	-1042	A	-4438	A	-2820	A	-521	A	-985	A	-632	A	-1152	A	-825	A	-876	A	-1533	A	-603	A	-451	A	-476	A	-1359	A	-2516	A	-2173	A	-3626	A	-931	A	-947	A	-3750	A	-1206	A	-653	A	-2056	A	-2754	A	-3167	A
Id1	HG3342-HT3519_s_at	8152	P	507	P	690	P	747	P	493	P	533	P	3390	P	1463	P	787	P	657	A	8459	P	12346	P	7196	P	17949	P	1729	P	1074	A	5581	P	937	P	11102	P	9625	P	3091	P	5502	P	2034	P	881	P	10891	P	4402	P	7902	P	4210	P	6008	P	4858	P	2446	P	-217	A	1481	P	2433	P	1155	P	1178	P	3779	P	929	P	2105	P	1079	P	1015	P	3397	P
BMP8 Bone morphogenetic protein 8 (osteogenic protein 2)	M97016_s_at	-160	A	-644	A	-430	A	-343	A	-785	A	-483	A	-470	A	-992	A	-321	A	-777	A	-1003	A	-1715	A	-1959	A	-1133	A	-1662	A	-1238	A	-630	A	-625	A	-1720	A	-1325	A	-504	A	-510	A	-234	A	-588	A	-780	A	-270	A	-493	A	-155	A	-92	A	-285	A	-619	A	-1342	A	-1118	A	-1727	A	-349	A	-425	A	-1577	A	-741	A	-242	A	-1057	A	-519	A	-926	A
"Dnaj Homolog (Gb:X63368), Alt. Splice Form 2"	HG3395-HT3573_s_at	720	P	913	A	1047	P	574	P	392	P	332	M	670	P	1953	P	318	A	1012	P	214	M	1775	P	1809	P	1304	P	1343	A	2505	P	1760	P	255	A	1812	P	404	P	1953	P	3620	P	665	P	1901	P	1532	P	898	P	851	P	1470	P	1079	P	1945	P	1803	P	6262	A	4571	P	5120	P	179	A	436	P	9	A	3765	P	738	A	918	A	1563	P	1057	A
Myocyte-specific enhancer factor 2 (MEF2)	X68505_s_at	53	A	14	A	51	A	-22	A	-315	A	-55	A	2	A	113	A	10	A	-56	A	-27	A	71	A	-173	A	118	A	-166	A	-265	A	204	P	-80	A	282	A	122	A	44	A	182	P	-88	A	150	P	-1	A	45	A	96	A	59	A	29	A	-205	A	12	A	40	A	182	A	-430	A	53	A	93	A	-86	A	125	A	-321	A	76	A	-35	A	119	A
Blue Cone Photoreceptor Pigment	HG3412-HT3593_s_at	52	A	368	A	290	A	133	A	-296	A	319	A	69	A	506	A	-44	A	400	A	216	A	1180	A	895	A	507	A	-76	A	-47	A	29	A	54	A	390	A	423	A	115	A	-146	A	-264	A	283	A	106	A	81	A	255	A	155	A	132	A	-205	A	795	A	1053	A	827	A	1514	A	304	A	39	A	605	A	678	A	79	A	193	A	4983	P	154	A
"Gtp Cyclohydrolase I, Alt. Splice 1"	HG3417-HT3600_s_at	101	A	247	A	3	A	63	A	-253	A	11	A	24	A	88	A	147	A	25	A	105	A	81	A	192	A	76	A	-289	A	-18	A	78	A	60	A	-5	A	56	A	334	A	162	A	19	A	348	A	-16	A	95	A	242	A	51	A	33	A	-245	A	-248	A	434	A	-38	A	-26	A	40	A	186	A	307	A	76	A	-34	A	138	A	151	A	84	A
"Zinc Finger Protein Hzf-16, Kruppel-Like, Alt. Splice 1"	HG3426-HT3610_s_at	292	P	519	P	165	P	204	A	-278	A	547	P	459	P	790	P	218	P	219	A	230	A	163	A	168	A	177	A	-525	A	-193	A	265	A	-82	A	320	A	159	A	118	A	132	A	109	A	224	P	15	A	208	P	215	A	21	A	76	A	-225	A	188	P	361	A	221	A	-308	A	241	A	109	A	-28	A	370	A	-24	A	962	P	886	A	542	A
"Decorin, Alt. Splice 1"	HG3431-HT3616_s_at	3706	P	7504	P	125	A	4288	P	705	A	3157	P	1039	P	1960	P	252	P	2524	A	520	A	1638	P	1342	A	2904	P	555	A	116	A	2018	P	609	A	423	P	225	A	642	A	10441	P	5544	P	631	P	9461	P	18334	P	12204	P	401	P	2782	P	4011	A	643	A	-64	A	654	A	390	A	730	A	1811	P	894	A	1460	P	421	A	1124	P	1056	A	1751	A
"Fibroblast Growth Factor Receptor K-Sam, Alt. Splice 3, K-Sam Iii"	HG3432-HT3620_s_at	116	A	-59	A	510	P	177	P	-34	A	196	A	155	A	102	A	112	A	94	A	489	A	644	P	312	A	82	A	188	A	222	A	263	P	-121	A	499	A	479	A	5321	P	133	A	2337	P	199	A	3031	P	201	A	1284	P	198	P	592	P	707	P	934	P	-233	A	961	P	656	M	111	A	456	A	365	A	1476	P	312	A	317	A	1207	A	340	A
"Myelin Proteolipid Protein, Alt. Splice 2"	HG3437-HT3628_s_at	886	P	467	A	1200	P	200	A	420	M	190	A	429	A	347	A	439	P	413	P	3371	P	38427	P	6074	P	850	A	13389	P	9406	P	2662	P	392	A	9940	P	5908	P	1783	P	388	A	264	A	479	A	612	A	194	A	292	A	271	A	133	A	466	A	18195	P	2901	A	6145	P	3481	A	447	A	291	A	1336	A	24	A	2214	P	627	A	11384	P	2678	A
Protein Kinase (Gb:M59287)	HG3484-HT3678_s_at	561	P	1135	P	1034	P	1130	P	630	P	1526	P	827	P	1743	P	261	P	1072	P	509	P	606	P	1896	P	1145	P	307	A	393	P	558	P	91	A	591	P	540	P	441	P	4022	P	1046	P	599	P	1018	P	972	P	697	P	1299	P	467	P	661	P	449	A	1117	P	798	P	1271	P	174	A	490	P	432	A	795	P	54	A	630	P	408	A	445	P
"Proto-Oncogene C-Myc, Alt. Splice 3, Orf 114"	HG3523-HT4899_s_at	5465	P	762	A	405	A	-31	A	714	A	639	A	4869	P	754	A	152	A	352	A	2465	A	2463	A	1665	A	2231	A	1771	A	1700	P	1510	A	670	A	2474	A	2509	A	463	A	3465	P	1164	A	4709	P	3040	P	728	A	1587	P	772	P	492	M	641	A	1918	A	530	A	1336	A	1714	A	129	A	1610	P	1981	A	3111	P	911	A	4270	P	1371	A	2173	A
MYC V-myc avian myelocytomatosis viral oncogene homolog	M13929_s_at	4506	P	195	A	1	A	107	A	-6	A	180	A	3997	P	843	A	30	A	-24	A	667	A	316	A	240	A	980	A	265	A	1824	P	-22	A	346	P	634	A	1146	P	-40	A	2783	P	216	P	3539	P	2436	P	179	A	1122	P	357	P	175	P	576	A	200	A	972	A	1054	A	1855	A	-26	A	779	P	19	A	1239	P	391	A	3029	P	256	A	-52	A
IGF2 Insulin-like growth factor 2 (somatomedin A)	J03242_s_at	344	A	11531	P	384	A	2032	P	1616	P	1476	P	518	M	829	A	327	P	1104	P	778	A	1895	P	1285	A	1163	A	854	A	2858	P	875	P	402	A	1351	P	991	P	512	P	16211	P	385	A	716	P	10848	P	30299	P	16703	P	594	A	645	P	3795	P	807	A	1286	A	1391	M	1097	A	636	A	2152	P	9770	P	54674	P	713	A	483	A	1307	A	1136	P
IGF2 Insulin-like growth factor 2 (somatomedin A)	M17863_s_at	128	A	4487	P	289	A	824	P	805	P	698	P	251	A	1180	M	119	A	401	M	705	M	781	A	683	A	850	P	193	A	1161	P	200	A	26	A	629	A	850	A	576	P	8724	P	176	A	246	M	7185	P	11838	P	11474	P	470	A	235	M	556	P	698	P	771	A	795	A	1093	A	147	A	816	P	4693	P	46677	P	-113	A	456	A	671	A	728	M
"Polymyositis/Scleroderma (Pm-Scl) Autoantigen, Alt. Splice 2"	HG36-HT4101_s_at	535	P	231	A	250	A	156	P	173	A	593	P	377	P	563	P	78	A	343	P	419	A	284	A	332	A	247	A	369	A	262	A	393	A	275	P	227	A	89	A	211	P	212	P	548	P	549	P	496	P	100	A	358	P	265	P	283	P	135	A	236	A	-40	A	-150	A	-170	A	250	A	179	A	788	A	329	A	-64	A	501	A	221	A	407	A
"Amyloid Beta (A4) Precursor Protein, Alt. Splice 2, A4(751)"	HG3638-HT3849_s_at	489	P	2209	P	2653	P	2716	P	2166	P	2731	P	687	P	6295	P	700	P	5526	P	5083	P	4643	P	3841	P	6087	P	2659	P	6482	P	7069	P	5427	P	10298	P	3478	P	3961	P	7238	P	2929	P	5724	P	5668	P	831	P	3633	P	1049	P	1520	P	391	A	4808	P	771	A	1500	P	1514	A	2038	P	3399	P	1125	A	2909	P	688	A	1945	P	1085	A	5140	P
"Amyloid Beta (A4) Precursor Protein, Alt. Splice 4"	HG3638-HT3993_s_at	-17	A	948	P	482	P	890	P	342	A	543	P	-63	A	-478	A	286	P	875	P	-11	A	-38	A	-418	A	466	P	-371	A	-178	A	56	A	-354	A	287	P	98	A	-29	A	399	P	230	A	-74	A	19	A	162	P	335	P	203	P	341	P	-60	A	12	A	827	A	1381	P	2246	A	192	A	266	M	-144	A	512	P	-163	A	12	A	198	A	285	A
"Udp-Glucuronosyltransferase 1 Family, Polypeptide 1, Alt. Splice 1"	HG3703-HT3915_s_at	-1	A	0	A	20	A	-44	A	-328	A	-11	A	-128	A	-244	A	-21	A	-169	A	-119	A	-49	A	-842	A	-183	A	-488	A	-335	A	-180	A	-246	A	-141	A	-239	A	-117	A	-27	A	-110	A	-66	A	-205	A	-43	A	44	A	-276	A	12	A	-220	A	261	A	-369	A	-73	A	-745	A	129	A	-128	A	9	A	-108	A	-94	A	-126	A	23	A	61	A
"UDP-GLUCURONOSYLTRANSFERASE 1F PRECURSOR, MICROSOMAL"	J04093_s_at	63	A	37	A	25	A	27	A	-79	A	73	A	30	A	287	P	30	A	46	A	4	A	60	A	-115	A	-35	A	-59	A	-284	A	-11	A	-95	A	162	A	-75	A	-37	A	39	A	-11	A	52	A	-90	A	23	A	48	A	9	A	-5	A	0	A	188	A	426	A	121	A	134	A	-94	A	-10	A	-105	A	59	A	69	A	-114	A	75	A	5	A
"Mucin 1, Epithelial, Alt. Splice 6"	HG371-HT1063_s_at	-4	A	-167	A	-75	A	-42	A	-294	A	-41	A	-78	A	88	A	-69	A	-264	A	108	A	-98	A	-361	A	106	A	-247	A	-418	A	-112	A	-196	A	-189	A	-14	A	-153	A	-46	A	-221	A	16	A	-167	A	-59	A	-30	A	-28	A	-32	A	-165	A	-72	A	-811	A	0	A	-817	A	-44	A	-72	A	-67	A	-92	A	-34	A	-178	A	180	A	-26	A
"Mucin 1, Epithelial, Alt. Splice 9"	HG371-HT26388_at	-3037	A	-5512	A	-2974	A	-2909	A	-3960	A	-3966	A	-4071	A	-10041	A	-3018	A	-4645	A	-7952	A	-7364	A	-8775	A	-8396	A	-5697	A	-5080	A	-7114	A	-4305	A	-10792	A	-6645	A	-3368	A	-3325	A	-3024	A	-4379	A	-2452	A	-2496	A	-3784	A	-2837	A	-1926	A	-2361	A	-3242	A	-13770	A	-8816	A	-9350	A	-2979	A	-3668	A	-6808	A	-6402	A	-3135	A	-5711	A	-6920	A	-7623	A
"Mucin 1, Epithelial, Alt. Splice 9"	HG371-HT26388_s_at	211	A	727	A	388	A	116	A	333	A	442	A	208	A	928	A	97	A	390	A	516	A	1240	A	852	A	566	A	1214	A	517	A	252	A	400	A	895	A	831	A	550	P	179	P	465	A	1328	P	511	P	409	A	430	A	3208	P	927	P	115	A	764	A	836	A	1372	A	1041	A	412	A	502	A	903	A	866	A	574	A	736	A	-192	A	880	A
Insulin-Like Leydig Hormone	HG3725-HT3981_s_at	262	A	559	A	311	A	376	A	431	A	400	A	-108	A	680	A	183	A	417	A	719	A	1016	A	375	A	519	P	1184	A	535	A	-63	A	504	A	-341	A	822	A	223	A	-222	A	308	A	195	A	976	P	342	A	354	A	-194	A	287	P	531	A	534	A	779	A	-339	A	1409	P	138	A	146	A	817	A	0	A	564	A	-980	A	1417	A	495	A
Tyrosine Kinase Syk	HG3730-HT4000_s_at	208	P	236	A	-25	A	2	A	267	A	24	A	-275	A	-187	A	78	A	-185	A	-214	A	333	A	235	M	-47	A	252	M	193	P	-213	A	275	P	-287	A	18	A	132	A	-115	M	132	P	297	A	154	A	110	A	-83	A	-417	A	9	A	305	A	273	A	-506	A	92	A	-1234	A	219	A	0	A	-211	A	356	A	297	A	263	A	338	A	460	A
"P72syk {G insertion nucleotide 92} [human, Jurkat E6-1 J.CaM1 cells, mRNA Partial Mutant, 1909 nt]"	S80267_s_at	150	A	87	A	-25	A	7	A	-29	A	59	A	-32	A	120	A	72	A	-49	A	22	A	65	A	-101	A	0	A	86	A	-123	A	148	A	2	A	86	A	-112	A	-33	A	40	A	-41	A	13	A	23	A	67	A	-5	A	7	A	43	A	-265	A	-12	A	120	A	-35	A	-197	A	35	A	-41	A	259	A	84	A	247	A	111	A	58	A	96	A
